Par_URL_offre|Code_OGR|Par_ref_offre|Description|Libelle_metier_OGR|DEP_libelle|DEP_cle|Par_cle|Par_nom|Off_experience_duree_min|Exp_cle|Exp_libelle|Dur_cle_experience|NTC_cle|TCO_cle|Off_contrat_duree_MO|Pay_cle|Off_date_creation|Off_date_modification
https://place-emploi-public.gouv.fr/offre-emploi/2020-454766|19827|2020-454766|Les EMD regroupent depuis le 01 août 2010, l’école d’artillerie et de l’infanterie et forment les militaires. Le commandant de la formation administrative assure la charge de chef d’emprise du quartier BONAPARTE et de son annexe BERGEROL. L’agent affecté sur ce poste exerce des fonctions au sein de la SMR du BML des EMD sera le mécanicien monteur spécialiste blindés légers qui devra effectuer les opérations d’entretien et de réparation se rapportant au domaine technique considéré sur des matériels complexes au sein de l’atelier Blindés légers ( VAB / VBL / PVP).\nLes missions principales sont:\nExécuter des actes de maintenance et de réparation sur des matériels mécaniques de type VAB/VBL/PVP.\nRéaliser les démontages et les montages d’ensembles\nUtiliser les matériels de dotation, outillage\nEffectuer les réglages, les mises au point et les essais après réparation\nUtiliser la documentation technique et respecter les modes opératoires\nMonter l’astreinte dépannage\nEffectuer les opérations préventives et correctives de son niveau.\nAssimiler les techniques de stockage, d'approvisionnement et de suivi des faits techniques.\nLes missions annexes sont:\nEtre responsabilité de son outillage\nParticiper à l’entretien et au nettoyage de l’atelier et des locaux\ncommuns\nUtiliser les ressources matérielles de l’atelier, outillage spécifique et moyens de levage\nAppliquer les règles d'HSCT\nLors des astreinte dépannage mutualisées\nRéaliser le maintien du 5S|MECANICIEN MONTEUR CONFIRME H/F|Var |83|PEP|PEP|0|D|Debutant|AN|E1|CDD|36|1|13/04/2021|
https://place-emploi-public.gouv.fr/offre-emploi/2020-458922|10715|2020-458922|Fonctions : Gestionnaire d'Infrastructures F/H \nCatégorie : A  \nCorps : Assistant-e ingénieur-e   \nBAP : E\nMission : \nAu sein d’une équipe de 6 personnes en charge des infrastructures, il/elle est chargé-e de la mise en place et de l’administration des systèmes de gestion de bases de données (SQL et NoSQL) du centre (en collaboration avec la partie système).\nIl/elle gère et exploite un parc d’environ 450 postes informatiques répartis sur une vingtaine de salles.\nIl/elle s’assure que les machines déployées correspondent aux demandes émises par les enseignants lors de leurs réservations (près de 4.000 réservations reçues chaque année). Pour ce faire, il/elle a recours à une quarantaine d’environnements virtuel Windows et Linux.\nIl/elle travaille en étroite relation avec son autre collègue gestionnaire d’infrastructures, pour gérer les environnements Windows et Linux déployés (interconnectés avec les structures informatiques de l’université : annuaires, stockage, proxy, etc.), notamment pour assurer une redondance en cas d’absence.\nActivités principales :\nGestion des Système de Gestion de Bases de Données(SGBD) : installation / paramétrage / optimisation et administration (principalement MariaBD, PostgreSQL et MongoDB)\nGestion des infrastructures : gestion du parc matériel et logiciel ; suivi de son exploitation ; optimisation ; sécurisation ; réalisation et déploiement de machines virtuelles sous Windows et Linux (à l’aide de VmWare)\nSupport et assistance aux utilisateurs\nRelations internes et externes.|Gestionnaire d'Infrastructures F/H (réf.2623)|Paris |75|PEP|PEP|0|D|Debutant|AN|E1|CDD|36|1|13/04/2021|
https://place-emploi-public.gouv.fr/offre-emploi/2020-483315|11943|2020-483315|Missions du service :\n\nAssurer la mise en œuvre et l’organisation des enseignements en alternance et formation continue (Licence, Master, MBA), destinés à des salariés/futur salariés du secteur de l’assurance.\n\nMissions de l’agent\nActivités principales :\n·Gérer administrativement les cycles en alternance niveau Master 1 et Master 2 : préparer les feuilles d’émargement, veiller à les faire signer, contrôler l’état des présences ;\n·Assurer l’interface avec les élèves (informations, retards, absences, envoi des feuilles d’émargement …) ;\n·Appuyer l’action du coordinateur des masters selon ses directives, notamment dans le cadre de la rentrée universitaire ;\n·Saisir les dossiers d’inscriptions sur Siscol ;\n·S’appuyer sur le pôle planning pour envoyer les emplois du temps aux élèves ;\n·Participer à l’organisation des actions de recrutement et de partiels (planning, demande de sujets, reprographie, saisie de candidatures concours, envoi des convocations, gestion des copies, saisie des notes, parution des résultats) ;\n\n \nActivités secondaires (le cas échéant) :\n· Contribuer à l’organisation de journées événementielles, manifestations, colloques, salons professionnels , remises de diplômes (réalisation de documents informations, inscriptions)\n· Administrer et exploiter des bases de données relatives à la scolarité des élèves|Gestionnaire administratif.ve et pédagogique|Paris |75|PEP|PEP|0|D|Debutant|AN|E1|CDD|36|1|13/04/2021|
https://place-emploi-public.gouv.fr/offre-emploi/O060200700084414|18864|O060200700084414|La communauté de communes du Pays Noyonnais et la Ville de Noyon recherche un Juriste spécialisé en droit public.\nSous l'autorité du Directeur Général des Services, vous serez le référent du contrôle interne de légalité de l'ensemble des actes administratifs des deux collectivités.|Juriste |Oise |60|PEP|PEP|0|D|Debutant|AN|E1|CDD|36|1|13/04/2021|
https://place-emploi-public.gouv.fr/offre-emploi/2020-493884|38975|2020-493884|Mission :\n\nLe/la chef-fe de projet rejoindra le DSI pour travailler à la réalisation d’un métamodèle standard (ou « Profil UML ») dédié à la provenance des données de recherche en sciences de la vie, instanciable sur tous les sous-domaines et implémentable sur les outils proposés par le projet EOSC-Life.\nSa mission sera de traduire la partie de la norme ISO consacrée au modèle commun de la Provenance (lui-même basé sur le standard W3C PROV) et développée par le partenaire BBMRI en un méta modèle UML instanciable et implémentable.\nIl/elle aura pour rôle de promouvoir et diffuser les principes FAIR (incluant la Provenance des données) à l’Inserm, sous la responsabilité du Chief Data Officer de l ‘Inserm.\n\nActivités principales :\n\n·    Contribuer aux avancées de la Norme ISO 276 développée dans le cadre du Projet\nEOSC-Life, sur la partie "Common Provenance Model"\n·    Se former à l’utilisation de l’outil de réalisation de profil UML, PapyrusUML\n·    Développer un métamodèle  générique UML à partir de la Norme ISO 276\n·    Instancier le métamodèle générique pour plusieurs sous-domaines (génomique…)\n·    Diffuser les principes FAIR, par le biais d’ateliers et de formations\n·    Diffuser les résultats du modèle générique de provenance, par le biais d’ateliers et de formations\n·    Double reporting au WP6 leader du projet EOSC-Life (CP VIS) et au Chief Data Officer de l’Inserm\n\nActivités associées :\n\n·    Participation aux réunions du projet EOSC-Life (téléphone/visioconférence) et réunions de management des données de recherche Inserm\n·    Rédaction de rapports d’avancement, forte contribution aux livrables du projet EOSC-Life\n·    Participation à la rédaction de documents de référence pour le Chief Data Officer|Ingénieur Informatique – gestion des données de la recherche (F/H)|Paris |75|PEP|PEP|0|D|Debutant|AN|E1|CDD|36|1|13/04/2021|
https://place-emploi-public.gouv.fr/offre-emploi/O083201100164816|18864|O083201100164816|La communauté d'agglomération Sud Sainte Baume cherche un responsable des affaires juridiques et des ressources humaines afin d'assurer le suivi des affaires juridiques en tous domaines de compétences et d'animer et diriger le service des ressources humaines.\n\n|Responsable des affaires juridiques et des ressources humaines|Var |83|PEP|PEP|0|D|Debutant|AN|E1|CDD|36|1|13/04/2021|
https://place-emploi-public.gouv.fr/offre-emploi/2020-506171|19827|2020-506171|CONNAISSANCES\nØ  Connaissance approfondie en électricité :\n·       En électricité de la Réglementation dans ce domaine\n·       Techniques d'installation et de maintenance des équipements\n\nØ  Connaissance en Bâtiment :\n·       Techniques locales d'installation et de maintenance des équipements\n·       Techniques d'optimisation de la conduite des installations\n·       Méthodologie de conduite de projet\n·       Technique des différents corps de métiers du bâtiment\n·       Réglementation sécurité incendie\n·       Marchés publics\n·       Techniques de négociation|Electricien de maintenance (adjoint au responsable)|Paris |75|PEP|PEP|0|D|Debutant|AN|E1|CDD|36|1|13/04/2021|
https://place-emploi-public.gouv.fr/offre-emploi/2020-507228|38975|2020-507228|L'université de Tours recrute un Expert en informatique statistique (H/F) pour le compte d’Intelligence des Patrimoines et en lien étroit avec l’équipe du laboratoire IV-PRISME, dont la mission principale sera d’effectuer une analyse\napprofondie de données récoltées dans le cadre d’étude oculométrique visant à étudier le comportement des publics lors de la découverte de tableaux dans le cadre de l’APR-IR TIC-ART (Traitement des Images au serviCe de l’ART - cf. encart).\n\nL’ingénieur travaillera en lien avec l’équipe numérique du programme ARD Intelligence des Patrimoines et les équipes du projet TIC-ART dont le porteur scientifique du projet, Aladine Chetouani.\n\nCette mission principale sera déclinée de la manière suivante :\nLa personne recrutée sera chargée de veiller à l’élaboration de la base de données avec le doctorant, d’analyser la cohérence des données récoltées, d’analyser en profondeur les données oculométriques en confrontant les différents publics afin d’identifier les différents comportements.\n|Expert-e en informatique statistique|Indre et Loire |37|PEP|PEP|0|D|Debutant|AN|E1|CDD|36|1|13/04/2021|
https://place-emploi-public.gouv.fr/offre-emploi/o09261-198718|18864|o09261-198718|- Assurer le pilotage du service de la commande publique\n\nAvec son équipe, veiller à la sécurité juridique des procédures de marchés publics et développer la politique d'achat de la ville\n\n- Assurer l'encadrement du service,\n- Participer à la définition de la politique d'achats de la ville,\n- Prendre en charge l'organisation de la fonction achats sur la ville et l'optimisation des procédures,\n- Participer à la mise à jour régulière des processus et procédures en fonction de l'évolution de la réglementation,\n- Participer à l'information et la formation régulière des directions en matière d'achats publics,\n- Organiser et superviser la fonction d'approvisionnement,\n- Piloter des projets,\n- Assister et conseiller les directions en matière de commande publique\n- Organiser et animer les groupes de travail et réunions référents\n- Assurer la sécurité juridique des marchés supérieurs aux seuils définis et des délégations de services publics (contrôle de légalité interne)\n- Organiser la procédure administrative de passation des marchés publics supérieurs aux seuils définis,\n- Organiser une planification adaptée des procédures suivies,\n- Participer au projet de dématérialisation des procédures et accompagner sa mise en oeuvre\n- Traiter les précontentieux, contentieux et litiges divers,|Responsable de la commande publique (h/f)|Hauts-de-Seine |92|PEP|PEP|0|D|Debutant|AN|E1|CDD|36|1|13/04/2021|
https://place-emploi-public.gouv.fr/offre-emploi/2020-516496|18739|2020-516496|Le/la DAF de FOCAL participe à la mise en œuvre du schéma directeur arrêté pour la formation professionnelle. A ce titre, il/elle organise et coordonne le fonctionnement du service, établit le budget du CRB et contrôle son exécution. Il/elle pilote les projets d’évolution et la démarche qualité du service ; il/elle supervise l’établissement des conventions, suit et analyse les indicateurs et tableaux de bord, assure une veille juridique, participe à la conduite de la politique de communication du service.\nVoir la fiche de poste ci-jointe pour plus de renseignements\n|Directeur.trice administratif.ve et financièr.e / mission d'aide au pilotage|Rhône |69|PEP|PEP|0|D|Debutant|AN|E1|CDD|36|1|13/04/2021|
