Par_ref_offre|Par_URL_offre|Code_ogr|Libelle_metier_OGR|Description|Par_cle|Par_nom|Off_experience_duree_min|Exp_cle|Exp_libelle|Dur_cle_experience|NTC_cle|TCO_cle|Off_contrat_duree_MO|Pay_cle|Off_date_creation|Off_date_modification
527984|https://place-emploi-public.gouv.fr/offre-emploi/gestionnaire-des-ressources-humaines-hf-reference-2021-533167|15334|Gestionnaire de l'administration du personnel|Vous serez accueilli(e) au sein du Département Administration du Personnel.\n Placé(e) sous la responsabilité du responsable du pôle Carrières IT & CH, le(la) gestionnaire en ressources humaines sera chargé(e) de la mise en œuvre des mesures et des procédures de gestion d’un portefeuille dédié d’environ 1 000 dossiers de fonctionnaires, dans le suivi de leur carrière du recrutement à leur cessation d’activité au sein de l’INRAE.\n                                                                                                                    Dans le cadre de ses missions, le(la) gestionnaire en ressources humaines assurera le suivi réglementaire de l'ensemble des dossiers dont il(elle) aura la charge (modification législative ou réglementaire, rédaction de décisions, ...). Le (La) gestionnaire en ressources humaines sera amené(e) à réaliser la saisie d’actes de gestion dans le système d’information HR Access.\n\nLe(la) gestionnaire en ressources humaines assurera également un rôle de conseils auprès des agents de l'Institut (réponse par mail aux situations individuelles, information téléphonique...) mais également des unités et acteurs RH de centres.\n\nEn outre, la personne recrutée pourra être amenée à participer à l’organisation de la campagne d’avancement. A ce titre, elle devra réaliser des contrôles de promouvabilités et/ou produire tout document de synthèse.\n\nVous serez plus particulièrement en charge de :\n\n-       Préparer les éléments pour la mise en œuvre de la paye en lien avec l’Agence Comptable Principale\n-       Préparer et rédiger les actes de gestion relatifs à la carrière des personnels fonctionnaires (recrutement, reconstitution de carrière, gestion des positions statutaires, cessation d’activité, ...)\n-       Participer à la mise en œuvre des procédures liées à la gestion administrative du personnel\n-       Rendre compte de l'état d'avancement des dossiers\n-       Saisir et mettre à jour des bases de données, des tableaux de bord, les dossiers des agents\n-       Assurer une fonction de conseil et d’information des agents\n-       Diffuser l'information relative aux procédures de gestion et participer à leur mise à jour\n-       Rédiger des notes et des courriers administratifs\n-       Participer à la réalisation de bilans d'activité|PEP|PEP|0|D|Debutant|AN|E1|CDD|36|1|01/03/2021|
528005|https://place-emploi-public.gouv.fr/offre-emploi/technicienne-sic-chargee-de-l-exploit-des-systemes-d-info-et-des-infrastructures-hf-reference-MINT_BS027SGCB-18607|10715|Agent / Agente d'exploitation informatique|"Vous participez avec l’ensemble du personnel du SIDSIC au maintien en condition opérationnelle des systèmes d’information (Préfecture, DDTM, DDPP, DDCS).\nVous participez aux missions de continuité de service du SIDSIC, à l’installation des équipements radio ;\nVous assurez l’exploitation et la maintenance de ACROPOL, SAIP ;\nVous conseillez et assistez les autorités et utilisateurs (systèmes d’information, téléphonie, ACROPOL …) ;\nVous participez au suivi et au déploiement des réseaux (données, téléphonie) ;\nVous contribuez au travail général du service et à la qualité de service du pôle support de proximité ;\nVous assurez la prévention des dysfonctionnements et contribuez au bon fonctionnement des systèmes d’information ;\nVous participez à la gestion des stocks, au suivi du parc et à la planification des interventions ;\nVous assistez le pôle exploitation des systèmes d’information ;\nVous apportez un soutien à la mise en place de moyens de communication lors d’événements ;\nVous rédigez des comptes rendus d'intervention, des notices et des procédures ;\nVous assistez et conseillez les utilisateurs en matière de sécurité périphérique ;\nVous participez à la préparation et aux configurations des équipements informatiques ;\nVous assurez le support des équipements informatiques, les interventions en qualité de technicien de proximité en appui de ses collègues ;\nVous participez aux groupes de travail mis en place au sein du SIDSIC, vous êtes force de proposition."|PEP|PEP|0|D|Debutant|AN|E1|CDD|36|1|01/03/2021|
528557|https://place-emploi-public.gouv.fr/offre-emploi/technicienne-sic-chargee-de-l-exploit-des-systemes-d-info-et-des-infrastructures-hf-reference-MINT_BS027SGCB-18607|10715|Agent / Agente d'exploitation informatique|"Vous participez avec l’ensemble du personnel du SIDSIC au maintien en condition opérationnelle des systèmes d’information (Préfecture, DDTM, DDPP, DDCS).\nVous participez aux missions de continuité de service du SIDSIC, à l’installation des équipements radio ;\nVous assurez l’exploitation et la maintenance de ACROPOL, SAIP ;\nVous conseillez et assistez les autorités et utilisateurs (systèmes d’information, téléphonie, ACROPOL …) ;\nVous participez au suivi et au déploiement des réseaux (données, téléphonie) ;\nVous contribuez au travail général du service et à la qualité de service du pôle support de proximité ;\nVous assurez la prévention des dysfonctionnements et contribuez au bon fonctionnement des systèmes d’information ;\nVous participez à la gestion des stocks, au suivi du parc et à la planification des interventions ;\nVous assistez le pôle exploitation des systèmes d’information ;\nVous apportez un soutien à la mise en place de moyens de communication lors d’événements ;\nVous rédigez des comptes rendus d'intervention, des notices et des procédures ;\nVous assistez et conseillez les utilisateurs en matière de sécurité périphérique ;\nVous participez à la préparation et aux configurations des équipements informatiques ;\nVous assurez le support des équipements informatiques, les interventions en qualité de technicien de proximité en appui de ses collègues ;\nVous participez aux groupes de travail mis en place au sein du SIDSIC, vous êtes force de proposition."|PEP|PEP|0|D|Debutant|AN|E1|CDD|36|1|01/03/2021|
529933|https://place-emploi-public.gouv.fr/offre-emploi/chef-de-la-section-des-personnels-actifs-du-bureau-zonal-des-personnels-actifs-ads-et-de-la-reserve-hf-reference-MINT_BA035SGB-19689|15334|Gestionnaire de l'administration du personnel|Votre environnement professionnel\nActivités du service\nAu sein de la DRH, le bureau des personnels actifs, des adjoints de sécurité et de la réserve civile assure la gestion de la carrière des personnels actifs et des adjoints de sécurité affectés au sein de la zone de défense et de sécurité Ouest, dans les régions Normandie, Centre val de Loire, Bretagne et Pays de la Loire.\nLe bureau est localisé sur deux sites (siège du SGAMI à Rennes et la délégation régionale à Tours).\nLes missions du BPAAR recouvrent, selon les domaines qui font l'objet d'une déconcentration, l'ensemble des étapes de la carrière des fonctionnaires, de la nomination à la retraite. S'ajoute à la gestion quotidienne des fonctionnaires la préparation des CAP Interdépartementales compétentes à l'égard du corps d'encadrement et d'application (CEA) et de la commission consultative paritaire zonale (CCPZ) compétente à l'égard des ADS ainsi que l'organisation des élections professionnelles.\nVos activités principales\n\nLa section a pour mission la gestion administrative des carrières des personnels actifs de la police nationale appartenant au corps d'encadrement et d'application (CEA) des régions Bretagne, Pays de la Loire et Normandie, comprenant notamment la diffusion des arrêtés collectifs et individuels des personnels via le SIRH Dialogue.\n Elle a plus particulièrement en charge l'organisation et le fonctionnement des commissions administratives paritaires du corps du CEA et des sujets précédemment examinés en leur sein : discipline, avancement, révision de notation, article 36.\nElle dispose d’une cellule dédiée pour l’instruction et le suivi des dossiers ASA (Avantage Spécifique d’Ancienneté) pour l’ensemble de la zone et le suivi et contrôle des autorisations spéciales d'absences (tableaux de suivi et statistiques) et congés de formation syndicale.\n\nDans ce cadre, le chef de la section assure, avec son adjoint, catégorie B, le pilotage et la coordination de l’équipe composée de 8 agents de catégorie C : 5 chargés de l'avancement et de l’organisation des CAPI et 3 chargés du suivi des ASA.\nIl veille plus particulièrement au suivi du calendrier et secrétariat des CAPI et à l’instruction des dossiers disciplinaire\nPar ailleurs, la section est chargée de la préparation des élections professionnelles de la police nationale.\n\n\n|PEP|PEP|0|D|Debutant|AN|E1|CDD|36|1|01/03/2021|
530545|https://place-emploi-public.gouv.fr/offre-emploi/instructeur-eloignement-hf-reference-MINT_BA008ATA-19297|18753|Responsable de la relation clientèle|"Vos activités principales\nSous l'autorité directe du chef de bureau et de son adjointe, la mission "éloignement" instituée au sein du BMIMP est composée d'un binôme d'agents polyvalents sur les deux principaux blocs d'attributions qui la constituent :\n- Gestion et suivi des interpellations : sur sollicitation des forces de l'ordre, les agents passent au crible les situations des retenus, proposent, aux membres du corps préfectoral, les suites à y donner, rédigent les arrêtés portant obligation de quitter le territoire et autres décisions d’éloignement ;\n- Préparation, programmation et suivi des opérations d'éloignement : les agents assurent la planification des opérations d'éloignement des publics concernés : constitution des dossiers (accomplissement des formalités préalables, assignations à résidence, réservation des vols et des centres de rétention, coordination des forces de l'ordre, etc.).\nLes agents du binôme sont intégrés au tour des astreintes de week-end et jours fériés (vendredi 19h au lundi 8h) au titre de la permanence "étrangers", partagée avec 3 autres collègues du service.\nIls assurent en outre la rédaction des mémoires en défense (TA et JLD), la mise à jour des tableaux de suivi statistique de l'activité d'éloignement, le renseignement des applications dédiées permettant la traçabilité des actions menées et l'actualisation des données des étrangers.\n\n\nLa nécessaire polyvalence sur l'ensemble de ces missions est destinée :\n- à faciliter le suivi fin des situations,\n- à favoriser le travail de programmation sans préjudice de l'activité de temps réel liée aux interpellations et opérations de police,\n- mettre à profit la collaboration entre collègues et la cohésion d'équipe sur des missions où l'échange de points de vue et la complémentarité des approches sont de nature à optimiser l'action publique,\n- à assurer une meilleure continuité du service par l'exercice de ses missions partagées, même en période de congés,\ndans l'objectif de réduire les délais de traitement et de poursuivre l'inflexion positive du nombre des éloignements.\n\n\nL'alternance des agents sur les missions sera déterminée dans le cadre de l'organisation interne et en fonction des nécessités du service.\n\n\nLe titulaire du poste a vocation à devenir référent expert en matière d’éloignement. Le poste comporte les spécificités et missions propres suivantes :\n- représentation du service en réunion de sécurité, en cas d’absence de la cheffe de bureau et de son ajointe,\n- coordination des décisions d’éloignement asile et du contentieux,\n- interventions parlementaires portant sur l’éloignement,\n- statistiques et tableaux de bord,\n- gestion des contentieux complexes,\n- suivi des dispositifs d’accueil et d’hébergement pour planifier les occupations et lutter contre les présences indues.\n\n\nParticipation à la supervision de l’activité « titres de séjour » (management intermédiaire) :\n- Prise en charge des situations difficiles et conflictuelles (accuei"|PEP|PEP|0|D|Debutant|AN|E1|CDD|36|1|01/03/2021|
532174|https://place-emploi-public.gouv.fr/offre-emploi/instructeur-eloignement-hf-reference-MINT_BA008ATA-19297|18753|Responsable de la relation clientèle|"Vos activités principales\nSous l'autorité directe du chef de bureau et de son adjointe, la mission "éloignement" instituée au sein du BMIMP est composée d'un binôme d'agents polyvalents sur les deux principaux blocs d'attributions qui la constituent :\n- Gestion et suivi des interpellations : sur sollicitation des forces de l'ordre, les agents passent au crible les situations des retenus, proposent, aux membres du corps préfectoral, les suites à y donner, rédigent les arrêtés portant obligation de quitter le territoire et autres décisions d’éloignement ;\n- Préparation, programmation et suivi des opérations d'éloignement : les agents assurent la planification des opérations d'éloignement des publics concernés : constitution des dossiers (accomplissement des formalités préalables, assignations à résidence, réservation des vols et des centres de rétention, coordination des forces de l'ordre, etc.).\nLes agents du binôme sont intégrés au tour des astreintes de week-end et jours fériés (vendredi 19h au lundi 8h) au titre de la permanence "étrangers", partagée avec 3 autres collègues du service.\nIls assurent en outre la rédaction des mémoires en défense (TA et JLD), la mise à jour des tableaux de suivi statistique de l'activité d'éloignement, le renseignement des applications dédiées permettant la traçabilité des actions menées et l'actualisation des données des étrangers.\n\n\nLa nécessaire polyvalence sur l'ensemble de ces missions est destinée :\n- à faciliter le suivi fin des situations,\n- à favoriser le travail de programmation sans préjudice de l'activité de temps réel liée aux interpellations et opérations de police,\n- mettre à profit la collaboration entre collègues et la cohésion d'équipe sur des missions où l'échange de points de vue et la complémentarité des approches sont de nature à optimiser l'action publique,\n- à assurer une meilleure continuité du service par l'exercice de ses missions partagées, même en période de congés,\ndans l'objectif de réduire les délais de traitement et de poursuivre l'inflexion positive du nombre des éloignements.\n\n\nL'alternance des agents sur les missions sera déterminée dans le cadre de l'organisation interne et en fonction des nécessités du service.\n\n\nLe titulaire du poste a vocation à devenir référent expert en matière d’éloignement. Le poste comporte les spécificités et missions propres suivantes :\n- représentation du service en réunion de sécurité, en cas d’absence de la cheffe de bureau et de son ajointe,\n- coordination des décisions d’éloignement asile et du contentieux,\n- interventions parlementaires portant sur l’éloignement,\n- statistiques et tableaux de bord,\n- gestion des contentieux complexes,\n- suivi des dispositifs d’accueil et d’hébergement pour planifier les occupations et lutter contre les présences indues.\n\n\nParticipation à la supervision de l’activité « titres de séjour » (management intermédiaire) :\n- Prise en charge des situations difficiles et conflictuelles (accuei"|PEP|PEP|0|D|Debutant|AN|E1|CDD|36|1|01/03/2021|
532989|https://place-emploi-public.gouv.fr/offre-emploi/sgc-33---responsable-des-engagements-juridiques-hf-reference-MINT_BA033ATB-18668|18718|Responsable de gestion comptable|"Vos activités principales\n\nAu sein du pôle validation et performance du centre de services partagés régional CHORUS, vos missions consistent à :\n\n- contrôler et valider les engagements juridiques traités par les gestionnaires et la légalité des actes administratifs et budgétaires qui leur sont joints et apprécier dans ce cadre, les imputations comptables, budgétaires et analytiques ; \n- normaliser les procédures des différents pôles en concevant des modes opératoires\n- veiller à la professionnalisation des gestionnaires : diffusion des règles de gestion, respect des normes comptables\n\nAu titre de la performance, vos missions consistent :\n- analyser les données comptables (extractions des données à partir des restitutions chorus) et des indicateurs de performance en liaison avec le chef de section, les gestionnaires et les référents départementaux\n- appréhender les restitutions chorus et les évolutions du logiciel chorus\n- préparer les modes opératoires et supports de réunion avec les référents, la DRFIP\n \nAu titre de la polyvalence, vos missions consistent à\n- contrôler et valider les DP autres que celles de subventions en suppléance des responsables de demandes de paiements"|PEP|PEP|0|D|Debutant|AN|E1|CDD|36|1|01/03/2021|
532997|https://place-emploi-public.gouv.fr/offre-emploi/responsable-de-secretariat-hf-reference-MINT_BA092GNB-19643|15334|Gestionnaire de l'administration du personnel|"Vos activités principales\n\n\nMission : diriger un secrétariat ou une section commandement ;\n Assurer la gestion administrative de proximité des militaires de l’unité. \n\n Activités :\n - Aider à l'organisation du travail de la compagnie ;\n - Prendre en charge les aspects logistiques du groupe commandement ;\n - Gérer l'agenda et les contacts du commandant de compagnie ;\n - Constituer des dossiers administratifs en synthétisant les informations recueillies ; \n - Instruire les procédures de gestion administrative individuelles et collectives pour les actes de GRH ;\n - Mettre en forme divers écrits et correspondances, en élaborer le cas échéant ;\n - Préparer le courrier soumis à signature ;\n - Gérer le courrier "départ" et "arrivée" ;\n - Traiter des dossiers ponctuels et assurer le suivi d'affaires réservées ;\n - Conseiller et informer les agents sur les actes de gestion de leur carrière ;\n - Encadrer une équipe ;\n - Gérer la documentation interne du service, le classement et l'archivage ;\n - Réaliser l’interface entre la compagnie et le commandement militaire."|PEP|PEP|0|D|Debutant|AN|E1|CDD|36|1|01/03/2021|
532999|https://place-emploi-public.gouv.fr/offre-emploi/cgom---chef-du-bureau-soutiens-finances-hf-reference-MINT_BA973GNA-19718|19112|Responsable logistique|"Vos activités principales\n\n\nManagement :\nDiriger, commander, gérer, superviser, coordonner et animer une équipe de plus de 60 personnels de tous statuts (civils et militaires) ;\nMettre en place, suivre et exploiter des outils de reporting et d’information ;\nMettre en place, suivre et exploiter les contrôles internes des sections du bureau, du trésorier militaire et du régisseur d’avances et de recettes, ainsi que des unités du Commandement de la gendarmerie de Guyane ;\nS’assurer de la sécurité et des conditions de travail des personnels du bureau.\n\n\nBudget, finances, commande publique :\nÉlaborer, exécuter et suivre le budget de fonctionnement du Commandement de la gendarmerie de Guyane, par délégation du responsable d’unité opérationnelle (RUO), lui proposer les arbitrages nécessaires ;\nProposer au représentant du pouvoir adjudicateur la politique d’achat du Commandement de la gendarmerie de Guyane dans un cadre fixé par l’échelon central et en liaison avec les institutions locales pouvant assurer le support de la gendarmerie (FAG, GSBDD, Préfecture…) ;\nOrganiser l’ingénierie de la commande publique en matière de travaux et de fournitures courantes et de services et fonction des dotations (élaboration des documents relatifs aux marchés publics -DCE, RC, CCAP, CCTP- appels d’offres, commissions, ...) ;\nOrganiser et suivre la dépense militaire (sous trésorier militaire) ainsi que la régie d’avance ;\n\n\nSoutien logistique opérationnel :\nDéfinir les besoins en matière de logistique opérationnelle (matériels, véhicules, modalités de soutien de proximité et de maintien en condition opérationnelle des moyens…) ;\nÉtablir les budgets prévisionnels relatifs au renouvellement des matériels et des véhicules, préparer les cahiers des charges, approvisionner ;\nProposer la répartition des matériels et en assurer le suivi ;\nÊtre en capacité, en cas de crise, de monter rapidement en puissance avec l’apport, ou pas, de personnels extérieurs, et mettre en place un soutien spécifique de proximité ;\nAssurer l’acheminement des personnels et des matériels dans les unités, notamment les plus isolées.\n\n\nImmobilier et logements :\nProposer les stratégies immobilières de maintenance des parcs domanial et locatif (schémas directeurs immobilier, priorisation des opérations...) ;\nSuperviser le suivi administratif, juridique, technique et financier des opérations de construction locatives ;\nSuperviser la gestion des crédits loyers, des charges locatives et d’occupation des logements en caserne et hors caserne ;\nOrganiser la maintenance légère des casernements avec les équipes dédiées."|PEP|PEP|0|D|Debutant|AN|E1|CDD|36|1|01/03/2021|
536320|https://place-emploi-public.gouv.fr/offre-emploi/cgom---chef-du-bureau-soutiens-finances-hf-reference-MINT_BA973GNA-19718|19112|Responsable logistique|"Vos activités principales\n\n\nManagement :\nDiriger, commander, gérer, superviser, coordonner et animer une équipe de plus de 60 personnels de tous statuts (civils et militaires) ;\nMettre en place, suivre et exploiter des outils de reporting et d’information ;\nMettre en place, suivre et exploiter les contrôles internes des sections du bureau, du trésorier militaire et du régisseur d’avances et de recettes, ainsi que des unités du Commandement de la gendarmerie de Guyane ;\nS’assurer de la sécurité et des conditions de travail des personnels du bureau.\n\n\nBudget, finances, commande publique :\nÉlaborer, exécuter et suivre le budget de fonctionnement du Commandement de la gendarmerie de Guyane, par délégation du responsable d’unité opérationnelle (RUO), lui proposer les arbitrages nécessaires ;\nProposer au représentant du pouvoir adjudicateur la politique d’achat du Commandement de la gendarmerie de Guyane dans un cadre fixé par l’échelon central et en liaison avec les institutions locales pouvant assurer le support de la gendarmerie (FAG, GSBDD, Préfecture…) ;\nOrganiser l’ingénierie de la commande publique en matière de travaux et de fournitures courantes et de services et fonction des dotations (élaboration des documents relatifs aux marchés publics -DCE, RC, CCAP, CCTP- appels d’offres, commissions, ...) ;\nOrganiser et suivre la dépense militaire (sous trésorier militaire) ainsi que la régie d’avance ;\n\n\nSoutien logistique opérationnel :\nDéfinir les besoins en matière de logistique opérationnelle (matériels, véhicules, modalités de soutien de proximité et de maintien en condition opérationnelle des moyens…) ;\nÉtablir les budgets prévisionnels relatifs au renouvellement des matériels et des véhicules, préparer les cahiers des charges, approvisionner ;\nProposer la répartition des matériels et en assurer le suivi ;\nÊtre en capacité, en cas de crise, de monter rapidement en puissance avec l’apport, ou pas, de personnels extérieurs, et mettre en place un soutien spécifique de proximité ;\nAssurer l’acheminement des personnels et des matériels dans les unités, notamment les plus isolées.\n\n\nImmobilier et logements :\nProposer les stratégies immobilières de maintenance des parcs domanial et locatif (schémas directeurs immobilier, priorisation des opérations...) ;\nSuperviser le suivi administratif, juridique, technique et financier des opérations de construction locatives ;\nSuperviser la gestion des crédits loyers, des charges locatives et d’occupation des logements en caserne et hors caserne ;\nOrganiser la maintenance légère des casernements avec les équipes dédiées."|PEP|PEP|0|D|Debutant|AN|E1|CDD|36|1|01/03/2021|
